,7oldsamr.txt,alissadl.txt,aminegg.txt,bestwish.txt,burn.txt,crabhern.txt,mydream.txt,narciss.txt
dallying,0,0,0,0,0,1,0,0
dan,0,0,0,0,2,0,0,0
dark,0,0,0,0,0,0,0,1
dashed,0,0,1,0,0,0,0,0
day,0,0,1,2,0,1,0,2
days,1,0,0,0,1,1,0,0
dead,1,0,0,0,0,0,0,0
deal,0,0,0,0,0,1,0,0
dearest,0,1,0,0,0,0,0,0
death,0,0,0,0,1,0,0,0
deaths,0,0,0,0,1,0,0,0
debt,0,0,1,0,0,0,0,0
decided,0,0,1,0,0,1,1,1
defence,0,0,1,0,0,0,0,0
delighted,0,1,0,0,0,0,0,0
demands,0,0,1,0,0,0,0,0
deposit,0,0,0,0,0,1,0,0
desert,0,1,0,0,0,0,0,0
deserve,0,1,0,0,0,0,0,0
deserver,0,0,0,1,0,0,0,0
deside,0,0,0,1,0,0,0,0
desire,0,0,0,0,0,0,0,1
desolation,1,0,0,0,0,0,0,0
destroyed,0,0,0,0,1,0,0,0
develops,0,0,0,0,1,0,0,0
devotion,0,0,0,0,1,0,0,0
did,0,1,1,2,0,0,0,0
didn,0,0,0,0,0,1,1,0
die,0,0,0,0,0,0,1,0
died,0,0,0,0,0,0,0,1
different,0,0,0,0,0,0,2,0
dimension,0,0,0,0,0,0,1,0
disable,0,0,0,2,0,0,0,0
discovered,0,0,0,0,1,0,0,1
dived,0,0,0,0,0,1,0,0
doesn,0,0,0,1,1,0,0,0
don,0,0,0,8,1,2,0,0
donkey,0,2,1,0,0,0,0,0
door,0,0,1,0,0,0,0,0
doubted,0,0,0,0,0,0,1,0
downloading,0,0,0,0,0,0,1,0
downstairs,0,0,0,0,0,0,2,0
dozen,0,0,2,0,0,0,0,0
dream,0,0,0,0,0,0,6,0
dreamer,0,0,0,1,0,0,0,0
dreaming,0,0,0,0,0,0,1,0
dressed,1,0,0,0,0,0,0,0
dried,0,0,0,0,0,0,1,0
drink,1,0,0,0,0,0,1,0
drive,1,0,0,0,0,0,0,0
dropped,1,0,0,0,0,0,0,0
drought,0,0,1,0,0,0,0,0
drowned,0,0,0,0,0,0,0,1
eagerly,0,1,0,0,0,0,0,0
earlier,0,0,0,0,1,0,0,0
earth,0,0,0,0,0,0,0,1
easy,0,0,0,0,0,1,0,0
eat,1,0,0,0,0,0,0,0
edges,0,1,0,0,0,0,0,0
eeew,0,0,0,0,0,0,1,0
eggs,0,0,5,0,0,0,0,0
elderly,0,0,0,0,0,1,0,0
emperor,4,0,0,0,0,0,0,0
emptied,1,0,0,0,0,0,0,0
encounter,0,0,0,0,0,0,1,0
end,0,1,0,0,0,2,0,0
enjoy,0,0,0,1,0,0,0,0
enjoyed,0,1,0,0,0,0,0,0
enormous,0,0,0,0,0,0,1,0
eventually,0,0,0,0,1,0,0,0
evil,0,0,0,0,1,0,0,0
exclaimed,0,0,1,0,0,0,0,0
excuses,0,0,0,0,0,1,0,0
expense,0,1,0,0,0,0,0,0
eye,2,0,0,0,0,1,0,0
eyes,0,0,0,0,0,0,0,1
face,0,0,0,1,0,0,0,3
fact,0,1,0,0,0,0,0,0
faith,1,0,0,0,0,0,0,0
fall,0,0,0,0,1,0,0,0
falls,0,0,0,0,1,0,0,0
family,0,0,0,0,2,0,0,0
far,2,0,0,0,0,1,0,0
faultless,0,0,0,0,0,0,0,1
feel,0,0,0,1,0,1,1,0
feeling,0,0,0,0,0,0,1,0
feelings,0,0,0,3,0,0,0,0
feet,1,0,0,0,0,0,0,0
felt,0,0,0,2,0,0,3,0
fierce,1,0,0,0,0,0,0,0
figure,0,1,0,0,0,0,0,0
filled,0,0,0,0,1,0,0,0
fine,0,1,1,0,0,0,0,0
fish,0,0,0,0,0,10,0,0
fishermen,0,0,0,0,0,2,0,0
flew,0,0,0,0,0,0,1,0
float,0,0,0,0,0,0,1,0
flock,0,0,1,0,0,0,0,0
floor,0,1,0,0,0,0,0,0
flower,0,0,0,0,0,0,0,1
folk,1,1,0,0,0,0,0,0
followed,0,0,1,0,0,0,0,0
following,0,0,0,0,0,0,1,0
follows,0,0,0,0,1,0,0,0
food,2,0,0,0,0,0,0,0
fool,0,0,1,0,0,0,0,0
force,1,0,0,0,0,0,0,0
forehead,0,1,0,0,0,0,0,0
forest,0,0,0,0,0,2,1,0
forget,0,0,0,1,0,0,0,0
forgot,0,1,0,0,0,0,0,0
forgotten,0,0,0,0,0,0,0,1
fortune,0,0,1,0,0,0,0,0
fowls,0,0,1,0,0,0,0,0
friend,0,0,0,1,0,0,0,0
friends,0,0,0,0,0,1,0,0
frightened,0,0,0,0,0,2,0,0
frying,0,0,0,0,0,1,0,0
fun,0,2,0,0,0,0,0,0
gang,1,0,0,0,0,0,0,0
garden,0,0,1,0,0,0,0,0
gate,0,0,0,0,0,0,2,0
gently,0,0,0,0,0,1,0,0
gifted,0,0,0,0,1,0,0,0
girls,0,0,0,0,0,0,1,0
given,0,1,1,0,0,0,0,0
giving,0,1,0,0,0,0,0,0
gleaming,0,0,0,0,0,0,0,1
glib,0,0,0,0,0,1,0,0
goatskin,1,0,0,0,0,0,0,0
gods,0,0,0,0,0,0,0,2
goes,0,0,0,2,0,0,0,0
going,0,1,0,0,0,1,0,0
gold,0,0,1,0,0,0,0,0
gone,0,0,0,0,0,1,0,0
good,1,1,1,3,0,2,0,0
got,0,0,0,1,0,0,5,0
graceful,0,0,0,0,0,0,0,1
granting,0,1,0,0,0,0,0,0
great,0,0,1,0,0,1,0,0
greatly,0,1,0,0,0,0,0,1
greece,0,0,0,0,0,0,0,1
grey,1,0,0,1,0,0,0,0
ground,1,0,0,0,0,1,0,0
grow,0,0,1,0,1,0,0,0
guards,0,1,0,0,0,0,0,0
gugh,0,0,0,0,0,0,7,0
ha,0,0,0,0,0,0,2,0
hadn,0,1,0,0,0,0,1,0
hair,0,0,0,0,0,0,0,1
half,0,0,0,0,0,0,1,0
halr,0,0,1,0,0,0,0,0
hampton,0,0,0,0,1,0,0,0
hands,1,1,0,0,0,0,1,0
handsome,0,1,0,0,0,0,0,3
happen,0,0,0,1,0,0,0,0
happened,0,0,0,0,0,0,2,1
happening,0,0,0,0,0,0,1,0
happens,0,0,0,0,0,0,1,0
happiness,0,0,0,1,0,0,0,0
hard,0,0,1,1,0,0,0,0
harmed,0,0,0,0,1,0,0,0
hatch,0,0,1,0,0,0,0,0
hatched,0,0,2,0,0,0,0,0
hate,0,0,0,0,0,1,0,0
having,0,0,0,1,0,0,0,0
head,1,0,0,0,0,0,1,0
health,1,0,0,0,0,0,0,0
heard,0,1,0,0,0,0,3,0
hearing,0,0,2,0,0,0,0,0
heartless,0,0,0,1,0,0,0,0
heaven,0,0,0,0,0,0,0,1
held,1,0,0,0,0,0,0,0
help,1,0,0,0,0,0,0,0
helping,0,0,0,0,1,0,0,0
hens,0,0,1,0,0,0,0,0
heron,0,0,0,0,0,8,0,0
herons,0,0,0,0,0,1,0,0
hey,0,0,0,0,0,0,2,0
hidden,0,0,0,0,0,1,0,0
hide,0,0,0,1,0,0,0,0
hiding,1,0,0,0,0,0,0,0
hips,0,0,0,0,0,0,0,1
hls,0,0,0,0,0,0,0,2
holding,0,0,0,0,0,0,1,0
hole,0,0,0,0,0,0,2,0
home,0,0,0,0,0,1,0,0
honour,0,2,0,0,0,0,0,0
horror,0,0,0,0,1,0,0,0
horse,0,0,1,0,0,0,0,0
horses,1,0,0,0,0,0,0,0
hospitality,1,0,0,0,0,0,0,0
hostile,0,0,1,0,0,0,0,0
hour,0,0,1,0,0,0,1,0
hours,1,0,0,0,0,0,0,1
house,0,0,1,0,0,0,0,0
huddled,1,0,0,0,0,0,0,0
human,0,0,0,4,1,0,0,0
humans,0,0,0,1,0,0,0,0
humble,1,0,0,0,0,0,0,0
humbly,1,0,0,0,0,0,0,0
hurried,0,1,0,0,0,0,0,0
hurry,0,0,0,0,1,0,0,0
hurt,0,0,0,0,0,0,1,0
ignore,0,0,0,1,0,0,0,0
image,0,0,0,0,0,0,0,1
impatiently,0,0,1,0,0,0,0,0
individual,0,0,0,0,1,0,0,0
innocent,0,0,0,0,1,0,0,0
insulted,0,1,0,0,0,0,0,0
intention,0,0,0,0,0,1,0,0
interested,0,0,0,0,0,0,1,0
interests,0,0,0,0,0,1,0,0
invalid,0,0,0,0,1,0,0,0
invent,0,1,0,0,0,0,0,0
invented,0,1,0,0,0,0,0,0
involved,0,0,0,0,1,0,0,0
jail,0,0,0,0,1,0,0,0
japan,1,0,0,0,0,0,0,0
jeffrey,0,0,0,0,9,0,0,0
joker,0,1,0,0,0,0,0,0
jokes,0,1,0,0,0,0,0,0
jonathan,0,0,0,0,9,0,0,0
journey,1,0,1,0,0,0,0,0
judge,0,0,4,0,0,0,0,0
just,0,1,0,9,0,1,3,0
keen,0,0,0,0,0,1,0,0
kellogg,0,0,0,0,1,0,0,0
kept,0,0,0,0,0,0,1,0
kevin,0,0,0,0,2,0,0,0
kill,0,0,0,0,1,0,0,0
kind,0,0,0,0,0,0,1,0
kinda,0,0,0,0,0,0,1,0
kingdom,0,1,0,0,0,0,0,0
kiss,0,0,0,0,0,0,0,2
kitchen,0,0,0,0,0,0,1,0
knocked,0,0,1,0,0,0,0,0
know,0,0,0,7,0,1,0,0
known,0,1,0,0,0,0,0,0
laden,0,0,1,0,0,0,0,0
laid,0,0,1,0,0,0,0,0
lakeside,0,0,0,0,0,1,0,0
large,1,0,1,0,0,0,0,0
late,0,0,1,0,0,0,0,0
later,2,0,1,0,0,1,0,0
latest,0,0,0,0,0,1,0,0
laughter,0,1,0,0,0,0,0,0
law,0,0,0,0,1,0,0,0
lay,2,0,0,0,0,0,0,0
lazy,0,0,0,1,0,0,0,0
lead,0,0,0,2,0,0,0,0
leader,2,0,0,0,0,0,0,0
leant,0,0,0,0,0,0,0,1
learn,0,0,0,2,1,0,0,0
left,0,0,0,0,0,1,0,0
leftovers,1,0,0,0,0,0,0,0
legs,0,0,0,0,0,0,1,0
leona,0,0,0,0,2,0,0,0
let,2,1,0,2,0,0,0,0
letting,0,0,0,0,0,1,0,0
lie,0,0,0,0,0,0,0,1
life,0,0,0,3,0,0,1,0
light,0,0,0,0,1,0,2,0
like,2,0,0,3,1,0,7,0
liqueur,1,0,0,0,0,0,0,0
littered,0,0,0,0,0,1,0,0
little,0,0,1,2,0,0,1,0
live,0,0,0,2,0,0,0,0
lived,1,1,0,0,0,0,0,1
lives,0,0,0,1,1,0,0,0
living,0,0,0,1,0,0,0,0
ll,2,0,0,2,1,4,0,0
llvlng,0,0,0,0,0,0,0,1
loathed,0,0,0,0,0,1,0,0
long,0,0,0,1,1,0,0,0
longer,1,0,0,0,0,0,0,0
look,0,1,0,0,0,0,0,1
looked,0,0,0,0,0,0,3,0
looks,0,0,0,0,1,0,0,0
loss,0,0,0,4,0,0,0,0
lost,0,0,1,0,0,1,0,2
loudly,0,1,0,0,0,0,0,0
love,0,0,0,0,1,0,0,2
low,0,1,0,0,0,0,0,0
lucid,0,0,0,0,0,0,1,0
lunch,0,0,0,0,0,1,0,0
machine,0,0,0,5,0,0,0,0
majesty,1,0,0,0,0,0,0,0
make,0,0,0,0,0,1,1,0
making,0,1,0,0,0,0,0,0
man,0,1,1,0,0,0,0,1
manage,0,0,0,1,0,0,0,0
managed,1,0,0,0,0,0,0,0
manipulate,0,0,0,0,1,0,0,0
manipulated,0,0,0,0,1,0,0,0
mankind,0,0,0,0,0,0,0,1
marauding,1,0,0,0,0,0,0,0
matter,0,0,1,0,0,0,0,0
maybe,0,0,0,0,0,1,2,0
meal,1,0,0,0,0,0,0,0
meals,0,0,0,0,0,1,0,0
means,0,0,0,0,1,0,0,0
meeting,0,0,0,0,0,1,0,0
men,4,0,0,0,0,0,0,0
merchant,0,0,4,0,0,0,0,0
met,0,0,0,1,0,0,1,0
minds,0,0,0,0,1,0,0,0
mirror,0,0,0,1,0,0,0,0
mirrored,0,0,0,0,0,0,0,1
miserable,0,0,1,0,0,0,0,0
misery,1,0,0,0,0,0,0,0
mock,0,0,0,0,0,1,0,0
molested,0,0,0,0,1,0,0,0
moment,0,0,0,1,0,0,0,0
money,0,0,0,1,0,0,0,0
monozygotic,0,0,0,0,1,0,0,0
monsters,0,0,0,0,0,0,1,0
mop,0,0,0,0,0,0,0,1
mother,0,0,0,0,1,0,0,0
mountain,4,0,0,0,0,0,0,1
mountains,0,0,0,0,0,0,0,1
mournlng,1,0,0,0,0,0,0,0
mouth,0,1,0,0,0,0,1,0
murder,0,0,0,0,1,0,0,0
murdered,1,0,0,0,0,0,0,0
mysterious,0,0,0,0,1,0,0,0
names,0,0,0,0,1,0,0,0
narcissus,0,0,0,0,0,0,0,8
nearby,1,0,0,0,0,0,0,0
neck,0,0,0,0,0,3,0,0
needed,1,0,0,0,0,0,0,0
nets,0,0,0,0,0,1,0,0
news,0,0,1,0,0,1,0,0
night,0,0,0,1,0,0,4,0
noise,0,0,0,0,0,0,1,0
nose,0,0,0,0,0,0,0,1
noticed,0,0,0,0,0,2,0,0
obtained,0,0,1,0,0,0,0,0
offer,1,0,0,0,0,1,0,0
old,9,0,1,0,0,1,0,0
open,0,1,0,0,0,0,0,0
opened,0,0,0,0,0,0,1,0
ordered,0,1,1,0,0,0,0,0
outside,1,0,0,0,0,0,0,0
oval,0,0,0,0,0,0,0,1
overcome,0,0,0,0,1,0,0,0
overcoming,0,0,0,0,1,0,0,0
overwhelmed,0,1,0,0,0,0,0,0
palace,0,1,0,0,0,0,0,0
pan,0,0,0,0,0,1,0,0
pass,0,0,0,0,0,0,0,1
passed,1,0,0,0,0,0,0,0
path,0,0,0,0,0,0,1,0
pay,0,0,1,0,1,0,0,0
payment,0,1,2,0,0,0,0,0
peasant,0,0,1,0,0,0,0,0
people,0,2,0,6,5,0,0,0
perfect,0,0,0,0,0,0,0,2
perfectly,0,0,1,0,0,0,0,0
perp,0,0,0,0,1,0,0,0
person,0,1,0,3,0,0,0,0
picked,0,1,0,0,0,0,0,0
pieces,0,0,1,0,0,0,0,0
piled,1,0,0,0,0,0,0,0
pilgrims,2,0,0,0,0,0,0,0
place,1,0,0,0,1,0,0,0
planted,0,0,1,0,0,0,0,0
plate,0,0,1,0,0,0,0,0
plot,0,0,1,0,0,0,0,0
plumper,0,0,0,0,0,1,0,0
poem,0,4,0,0,0,0,0,0
poet,0,1,0,0,0,0,0,0
point,0,1,1,1,0,0,0,0
pointed,0,2,0,0,0,0,0,0
poison,1,0,0,0,0,0,0,0
police,0,0,0,0,1,0,0,0
pond,0,0,0,0,0,6,0,0
pool,0,0,0,0,0,0,0,2
poor,1,0,0,0,0,0,0,0
potent,1,0,0,0,0,0,0,0
powerful,0,1,0,0,0,0,0,0
powers,0,0,0,0,0,0,1,0
praise,0,1,0,0,0,0,0,0
precipice,0,0,0,0,0,0,0,1
pressure,0,0,0,0,0,0,1,0
pretended,0,0,0,0,0,1,0,0
pretty,0,0,0,0,0,0,1,0
price,0,0,0,0,1,0,0,0
profit,0,0,0,3,0,0,0,0
promptly,0,0,1,0,0,0,0,0
protagonists,0,0,0,0,1,0,0,0
proud,0,0,0,0,0,0,0,1
prove,0,0,0,0,1,0,0,0
pulled,0,0,0,0,0,0,1,0
punish,0,1,0,0,0,0,0,0
pushing,0,0,0,0,0,0,1,0
quarter,0,0,1,0,0,0,0,0
quickly,0,0,0,0,0,1,0,0
quite,0,1,0,0,0,1,0,0
raika,1,0,0,0,0,0,0,0
raiko,6,0,0,0,0,0,0,0
rate,0,0,0,0,0,1,0,0
reached,1,1,0,0,0,0,0,0
read,0,0,0,1,0,0,0,0
real,0,0,0,0,1,0,0,0
really,0,0,0,1,0,0,0,0
receiving,0,0,0,1,0,0,0,0
recite,0,2,0,0,0,0,0,0
recited,0,1,0,0,0,0,0,0
reflection,0,0,0,0,0,0,0,3
refused,0,0,1,0,0,0,0,0
remaining,1,0,0,0,0,0,0,0
remember,0,0,0,1,0,0,0,0
replied,2,0,0,0,0,1,1,0
rescued,0,0,0,0,0,2,0,0
rest,0,0,0,0,1,0,0,0
result,0,0,0,1,0,0,0,0
retorted,0,0,1,0,0,0,0,0
returned,0,0,1,0,0,1,0,0
revenge,0,0,0,0,1,0,0,0
reward,0,2,0,0,0,0,0,0
rice,1,0,0,0,0,0,0,0
rich,0,0,1,0,0,0,0,0
riding,0,0,1,0,0,0,0,0
right,0,0,1,0,0,0,0,0
roar,0,1,0,0,0,0,0,0
robbers,6,0,0,0,0,0,0,0
robes,0,1,0,0,0,0,0,0
rolling,0,0,0,0,0,0,1,0
rose,1,0,0,0,0,0,0,0
rubbed,0,1,0,0,0,0,0,0
ruins,1,0,0,0,0,0,0,0
ruler,0,1,0,0,0,0,0,0
rumour,0,0,0,0,0,1,0,0
rush,0,1,0,0,0,0,0,0
saddle,0,4,0,0,0,0,0,0
saddles,0,1,0,0,0,0,0,0
safe,0,0,0,0,0,2,0,0
said,5,2,1,0,0,4,2,0
sake,2,0,0,0,0,0,0,0
samurai,5,0,0,0,0,0,0,0
satan,0,0,0,0,0,0,1,0
saw,0,1,0,0,0,1,0,0
say,0,0,1,0,0,1,2,0
saying,2,0,0,1,0,0,0,0
scared,0,0,0,0,0,2,0,0
scares,0,0,0,1,0,0,0,0
scented,0,0,0,0,0,0,0,1
school,0,0,0,1,0,0,0,0
scornfully,1,0,0,0,0,0,0,0
scraped,0,1,0,0,0,0,0,0
scraps,1,0,0,0,0,0,0,0
sculptor,0,0,0,0,0,0,0,1
scuttled,0,0,0,0,0,1,0,0
second,1,0,0,0,0,0,0,0
seek,0,0,1,0,1,0,0,0
seeking,0,0,0,0,1,0,0,0
seen,0,0,0,1,0,0,0,0
sees,0,0,0,0,1,0,0,0
seized,0,0,0,0,0,0,0,1
self,0,0,0,3,0,0,1,0
sent,2,0,0,0,0,0,0,0
servant,0,0,1,0,0,0,0,0
served,2,0,0,0,0,0,0,0
set,1,0,0,0,1,0,0,0
seven,5,0,3,0,0,0,0,0
shall,0,1,0,0,0,1,0,0
sheet,0,0,0,0,0,0,0,1
shields,1,0,0,0,0,0,0,0
shower,0,0,0,0,0,0,1,0
shrine,0,0,0,0,0,0,1,0
sides,0,0,0,2,0,0,0,0
sighed,1,0,0,0,0,0,0,0
sign,0,0,1,0,0,0,0,0
silver,0,0,3,0,0,0,0,0
single,0,1,0,0,0,0,0,0
sire,0,1,0,0,0,0,0,0
sitting,0,0,0,1,0,0,0,0
sleep,0,0,0,0,0,0,3,0
slender,0,0,0,0,0,0,0,1
slept,0,0,0,0,0,0,2,0
slim,0,0,0,0,0,0,0,1
slow,0,0,0,0,0,1,0,0
smoking,1,0,0,0,0,0,0,0
snap,0,0,0,0,0,1,0,0
soldiers,1,0,0,0,0,0,0,0
soon,0,0,1,0,1,1,0,0
sorry,0,0,0,0,0,0,1,0
sorts,0,1,0,0,0,0,0,0
sound,0,1,0,0,0,0,0,0
spending,0,0,0,0,1,0,0,0
splendour,0,1,0,0,0,0,0,0
spoil,0,0,0,1,0,0,0,0
spoils,1,0,0,0,0,0,0,0
spontaneous,0,0,0,0,1,0,0,0
spread,0,0,1,0,0,0,0,0
spring,0,0,0,0,0,0,0,1
stairs,0,0,0,0,0,0,1,0
stand,0,0,0,1,0,0,0,0
standing,0,0,0,0,1,0,0,0
started,0,0,0,0,0,0,3,0
stay,1,0,0,0,0,0,0,0
stayed,0,0,0,0,0,0,1,0
stiff,0,0,0,0,0,2,0,0
stole,1,0,0,0,0,0,0,0
stolen,1,0,0,0,0,0,0,0
stop,0,0,0,0,0,0,4,0
stopped,0,0,0,0,1,0,0,0
storms,1,0,0,0,0,0,0,0
story,0,0,0,0,3,0,0,0
straight,0,0,1,0,0,0,0,0
strange,0,0,0,0,0,1,0,0
stream,0,1,0,0,0,0,0,0
street,0,1,0,0,0,0,0,0
strength,0,1,0,0,0,0,0,0
stretched,0,1,0,0,0,0,0,0
subjects,0,1,0,0,0,0,0,0
submit,1,0,0,0,0,0,0,0
sudden,0,0,0,0,0,0,1,0
suddenly,0,0,0,0,2,0,0,1
sultan,0,11,0,0,0,0,0,0
sum,0,0,1,0,0,0,0,0
summit,1,0,0,0,0,0,0,0
sun,0,1,0,1,0,0,0,0
super,0,0,0,0,0,0,1,0
sure,0,0,0,0,0,0,1,0
surprise,0,0,0,0,0,0,1,0
surrounded,0,0,0,0,0,0,2,0
survival,0,0,0,0,1,0,0,0
survive,0,0,0,0,1,0,0,0
suspicion,0,0,0,0,1,0,0,0
suspicious,0,0,0,0,1,0,0,0
swim,0,0,0,0,0,0,0,1
sword,1,0,0,0,0,0,0,0
swords,1,0,0,0,0,0,0,0
taken,0,0,1,0,0,0,0,0
takes,0,0,0,0,1,0,0,0
tale,0,0,0,0,2,0,0,0
tales,0,1,0,0,0,0,0,0
telekinetic,0,0,0,0,1,0,0,0
telepathy,0,0,0,0,1,0,0,0
tell,0,1,0,1,0,2,0,0
telling,1,0,0,0,0,0,0,0
tempest,0,1,0,0,0,0,0,0
test,0,0,0,1,0,0,0,0
thank,0,1,0,0,0,0,0,0
thanking,0,1,0,0,0,0,0,0
thanks,1,0,0,0,0,0,0,0
thats,0,0,0,1,0,0,0,0
thing,0,0,0,2,0,0,0,0
things,0,0,0,0,0,0,3,0
think,0,0,0,5,0,0,1,1
thinking,0,1,0,0,0,0,2,0
thinks,0,0,0,1,0,0,0,0
thought,0,0,0,1,0,1,3,0
thoughts,0,0,0,0,1,0,0,0
